ID	EFID	HB1_NS	HB3_NS	HB4_NS	HIB1_NS	HIB3_NS	HIB4_NS
SERR3601523_26_02098	EF3030_RS05660	227.565	305.74	280.83	123.29	143.105	141.495
SP_0057	EF3030_RS00320	30	30	30	30	30	30
SP_0064	EF3030_RS00350	190.125	168.78	321.59	66.03	90.48	31.845
SP_0066	EF3030_RS00360	384.86	605.74	562.245	149.6	209.785	57.125
SP_0117	EF3030_RS00660	2973.63	3243.13	3070.51	3096.24	3372.17	3224.655
SP_0314	EF3030_RS01515	30	30	30	30	30	30
SP_0338	EF3030_RS01640	30	30	30	30	31.215	30
SP_0340	EF3030_RS01645	30	106.225	30	130.51	124.35	142.515
SP_0366	EF3030_RS01770	1668.325	790.865	606.155	2589.65	2836.915	3946.98
SP_0368	EF3030_RS01780	183.735	150.535	124.505	65	136.79	49.67
SP_0459	EF3030_RS02260	1277.945	1505.88	1462.755	304.88	332.435	243.78
SP_0501	EF3030_RS02375	829.54	671	476.04	1763.75	1485.425	1732.685
SP_0502	EF3030_RS02380	860.9	723.655	643.9	2548.9	2248.33	2448.965
SP_0607	EF3030_RS02860	30	30	30	30	30	30
SP_0648	EF3030_RS03050	650.725	988.62	1466.7	119.68	149.485	42.115
SP_0664	EF3030_RS03125	268.475	106.225	143.145	213.05	222.53	202.125
SP_0667	EF3030_RS03140	280.39	308.345	337.21	240.91	225.41	214.635
SP_0715	EF3030_RS03345	427.85	539.655	533.595	255.35	230.54	226.925
SP_0730	EF3030_RS03435	2494.115	3095.255	3176.66	2518.46	2587.355	2501.615
SP_0746	EF3030_RS03505	316.11	319.4	325.56	431.27	473.075	450.76
SP_0766	EF3030_RS03600	1288.415	1601.885	1820.935	869.24	809.12	1059.51
SP_0877	EF3030_RS04170	30	30	30	78.93	77.985	52.505
SP_0897	EF3030_RS04275	1353.995	1309.075	1362.36	1883.43	1837.075	1699.265
SP_0930	EF3030_RS04460	237.73	270.605	261.725	270.83	266.915	257.265
SP_0965	EF3030_RS04645	599.09	528.51	415.715	138.25	151.44	224.125
SP_0966	EF3030_RS04650	137.715	129.68	213.385	193.97	181.94	183.76
SP_1100	EF3030_RS05840	475.43	659.32	572.155	338.41	330.13	376.855
SP_1128	EF3030_RS05710	2051.435	2285.06	2411.475	2838.82	3027.32	3140.625
SP_1154	EF3030_RS05665	30	101.01	198.36	89.25	87.33	97.24
SP_1163	EF3030_RS05615	265.31	407.59	309.25	304.88	313.2	238.59
SP_1185	EF3030_RS05500	30	30	30	30	30	30
SP_1190	EF3030_RS05485	443.21	1050.45	1494.095	159.4	261.65	104.67
SP_1220	EF3030_RS05345	1112.29	1252.135	1258.33	1617.24	1667.005	1518.735
SP_1241	EF3030_RS05250	1116.015	962.36	779.245	2710.88	2530.055	2769.7
SP_1242	EF3030_RS05245	687.885	588.75	458.115	1623.95	1470.035	1751.48
SP_1306	EF3030_RS06285	3912.575	3768.535	3294.395	4845.03	5439.215	5530.115
SP_1457	EF3030_RS06830	222.04	158.35	216.995	229.05	214.68	231.49
SP_1507	EF3030_RS07065	2968.05	2966.09	2700.24	3795.24	3974.695	3716.265
SP_1650	EF3030_RS07760	9641.855	10384.16	11188.59	7823.65	7234.2	7611.75
SP_1667	EF3030_RS07850	598.2	566.55	642.72	612.33	662.195	633.165
SP_1672	EF3030_RS07875	267.585	316.46	171.105	251.74	249.085	241.07
SP_1675	EF3030_RS07890	915.755	839.76	1013.83	190.36	203.615	39.01
SP_1676	EF3030_RS07895	1037.33	1129.665	1501.315	273.93	275.47	55.235
SP_1687	EF3030_RS07950	370.965	287.495	445.185	86.67	86.715	30
SP_1854	EF3030_RS08895	30	30	204.07	121.23	236.55	39.905
SP_1872	EF3030_RS08985	456.875	168.78	231.795	158.37	227.35	139.905
SP_1887	EF3030_RS09070	3669.595	4197.7	3755.99	2688.18	2798.545	2990.91
SP_1923	EF3030_RS09370	534.925	841.44	431.435	102.14	105.09	109.715
SP_1937	EF3030_RS09435	1022.575	982.88	972.84	1066.81	1036	1098.5
SP_1974	EF3030_RS09585	30	30	30	30	30.025	36.77
SP_1976	EF3030_RS09595	231.62	119.255	296.09	229.05	228.72	298.545
SP_1999	EF3030_RS09715	491.65	765.225	714.595	361.11	275.725	608.715
SP_2026	EF3030_RS09920	30	30	30	33.53	34.815	32.27
SP_2031	EF3030_RS09945	30	30	30	30	30	30
SP_2044	EF3030_RS10005	300.11	408.415	389.98	223.89	200.32	303.525
SP_2056	EF3030_RS10065	358.47	440.22	589.615	107.82	113.805	94.145
SP_2106	EF3030_RS10390	30	30	30	36.63	41.505	35.275
SP_2136	EF3030_RS10555	30	30	30	30	30	30
SP_2150	EF3030_RS10610	30	30	30	30	37.175	30
SP_2157	EF3030_RS10655	30	30	30	31.47	30.5	30
SP_2184	EF3030_RS10795	30	30	30	449.32	524.08	55.645
SP_2190	EF3030_RS10835	541.035	518.18	459.855	187.78	207.62	181.015
SP_2239	EF3030_RS11105	30	30	30	346.66	409.355	406.26
