SP_0057	EF3030_RS00320	strH	
SP_0117	EF3030_RS00660	pspA	
SP_0268	EF3030_RS01340	spuA	
SP_0314	EF3030_RS01515	hysA	
SP_0366	EF3030_RS01770	aliA	
SP_0368	EF3030_RS01780	spGH101	
SP_0375	EF3030_RS01820	gnd	
SP_0377	EF3030_RS01830	cbpC	
SP_0378	EF3030_RS01835	cbpJ	
SP_0390	EF3030_RS01920	cbpG	
SP_0609	EF3030_RS02870	glnQ	
SP_0641	EF3030_RS03025	prtA	
SP_0648	EF3030_RS03050	bgaA	
SP_0664	EF3030_RS03125	zmpB	
SP_0667	EF3030_RS03140	SP_0667	
SP_0739	EF3030_RS03470	merR	
SP_0771	EF3030_RS03625	ppiA	
SP_0930	EF3030_RS04460	pce	
SP_0965	EF3030_RS04645	lytB	
SP_0966	EF3030_RS04650	pavA	
SP_0981	EF3030_RS04725	ppmA	
SP_1003	EF3030_RS04835	phtD	
SP_1004	EF3030_RS04840	phtE	
SP_1032	EF3030_RS04990	piaA	
SP_1128	EF3030_RS05710	eno	
SP_1154	EF3030_RS05665	zmpA	
SP_1175	EF3030_RS05555	phtA	
SP_1492	EF3030_RS06990	SP_1492	
SP_1546	EF3030_RS07270	pclA	
SP_1572	EF3030_RS07410	pppA	
SP_1638	EF3030_RS07700	psaR	
SP_1650	EF3030_RS07760	psaA	
SP_1687	EF3030_RS07950	nanB	
SP_1732	EF3030_RS08180	stkP	
SP_1800	EF3030_RS08600	mgrA	
SP_1833	EF3030_RS08795	pfbA	
SP_1872	EF3030_RS08985	piuA	
SP_1923	EF3030_RS09370	ply	
SP_1937	EF3030_RS09435	lytA	
SP_1992	EF3030_RS09680	ksgA	
SP_2012	EF3030_RS09860	gap	
SP_2099	EF3030_RS10350	pbp1B	
SP_2136	EF3030_RS10555	pcpA	
SP_2190	EF3030_RS10835	pspC	
SP_2201	EF3030_RS10895	cbpD	
SP_2216	EF3030_RS10975	usp45	
SP_2239	EF3030_RS11105	htrA	
